lemma,freq_rank,raw_freq,source_forms,source_count
experiencia,1198,33104,experiencia|experiencias,2
darte,1199,29480,darte,1
salida,1200,32609,salida|salidas,2
decirlo,1201,29456,decirlo,1
confiar,1202,41953,confiar|confiado|confiaba|confiamos|confiando|confiada|confiara|confiaste|confiados|confiemos|confiabas|confiad|confiaron|confie|confiaban|confiaras,16
hacerte,1203,29424,hacerte,1
vistazo,1208,29316,vistazo,1
nene,1209,36264,nena|nene|nenas|nenes,4
juez,1212,35847,juez|jueces|jueza,3
paciente,1214,45413,paciente|pacientes,2
bolsa,1216,36160,bolsa|bolsas,2
arte,1217,34080,arte|artes,2
mary,1218,28973,mary,1
alegra,1221,28887,alegra,1
estarás,1226,28804,estarás,1
sur,1227,28775,sur,1
banda,1228,34261,banda|bandas,2
completo,1231,30385,completo|completos,2
santo,1232,59305,santo|santa|santos|santas,4
culpable,1233,32442,culpable|culpables,2
you,1236,28617,you,1
verla,1237,28616,verla,1
volvió,1238,28609,volvió,1
serán,1241,28588,serán,1
azul,1244,28477,azul,1
irte,1246,28442,irte,1
comandante,1248,29188,comandante|comandantes,2
acción,1249,28381,acción,1
regla,1250,41176,reglas|regla,2
obra,1251,35919,obra|obras,2
esperanza,1252,35687,esperanza|esperanzas,2
cuestión,1253,28230,cuestión,1
molesta,1254,28230,molesta,1
bill,1256,28210,bill,1
informe,1257,37101,informe|informes,2
jimmy,1258,28145,jimmy,1
tocar,1262,89241,tocar|toca|tocando|tocas|toco|tocaba|toquen|tocan|tocamos|tocaste|tocara|tocaron|tocaban|tocada|tocaremos|toquemos|tocabas|tocaras|tocad|tocaran,20
bob,1263,28053,bob,1
interior,1266,29308,interior|interiores,2
apartamento,1267,30301,apartamento|apartamentos,2
estáis,1270,27855,estáis,1
preocupa,1271,27847,preocupa,1
tomó,1272,27846,tomó,1
londres,1275,27684,londres,1
empezó,1276,27667,empezó,1
jim,1278,27640,jim,1
ojalá,1280,27609,ojalá,1
perdona,1281,27596,perdona,1
golpe,1283,37489,golpe|golpes,2
quedarme,1284,27529,quedarme,1
llamaré,1285,27497,llamaré,1
acabado,1286,29114,acabado|acabados,2
estilo,1287,28502,estilo|estilos,2
nueve,1288,27477,nueve,1
definitivamente,1289,27474,definitivamente,1
bomba,1292,37316,bomba|bombas,2
guardia,1293,40040,guardia|guardias,2
pistola,1294,31218,pistola|pistolas,2
majestad,1296,27624,majestad|majestades,2
marcha,1298,29239,marcha|marchas,2
hacerle,1302,27153,hacerle,1
vuelo,1303,29688,vuelo|vuelos,2
nota,1304,41743,nota|notas,2
danny,1305,27097,danny,1
valor,1308,27034,valor,1
suyo,1309,61481,suyo|suya|suyos|suyas,4
objetivo,1310,32188,objetivo|objetivos,2
repente,1311,26871,repente,1
debía,1312,26858,debía,1
rojo,1313,54393,rojo|roja|rojos|rojas,4
bromear,1314,32725,bromeando|bromeaba|bromear|bromean|bromee|bromeabas|bromeamos,7
irá,1315,26819,irá,1
entrada,1316,35957,entrada|entradas,2
doble,1317,29138,doble|dobles,2
dejaré,1318,26734,dejaré,1
evitar,1319,34312,evitar|evitando|evitado|evite|evitamos|evitan|eviten|evitemos|evitaremos|evitaba|evitaste,11
máquina,1320,26692,máquina,1
cuello,1321,27442,cuello|cuellos,2
conocí,1322,26576,conocí,1
nick,1325,26552,nick,1
animal,1326,46414,animales|animal,2
alex,1327,26535,alex,1
acaso,1328,26523,acaso,1
pareja,1330,33117,pareja|parejas,2
verano,1331,27569,verano|veranos,2
escuché,1332,26474,escuché,1
ama,1333,44342,ama|amas,2
serás,1334,26457,serás,1
mentira,1335,41268,mentira|mentiras,2
tarjeta,1336,35189,tarjeta|tarjetas,2
perdí,1338,26358,perdí,1
steve,1340,26340,steve,1
traído,1341,26331,traído,1
preparado,1343,38173,preparado|preparados,2
haberlo,1344,26304,haberlo,1
tony,1345,26298,tony,1
ayudarme,1348,26237,ayudarme,1
flores,1349,26230,flores,1
vos,1351,26194,vos,1
opción,1352,26177,opción,1
isla,1353,30669,isla|islas,2
piel,1355,28747,piel|pieles,2
enemigo,1356,45102,enemigo|enemigos|enemiga|enemigas,4
dejo,1357,26109,dejo,1
exacto,1358,32731,exacto|exacta|exactos|exactas,4
imbécil,1359,26010,imbécil,1
jóvenes,1360,26000,jóvenes,1
pedido,1361,27799,pedido|pedidos,2
larga,1362,32345,larga|largas,2
justicia,1364,25899,justicia,1
obviamente,1366,25797,obviamente,1
despierto,1367,39213,despierta|despierto|despiertos,3
calor,1369,25680,calor,1
lucir,1370,40712,luces|luce|lucir|lucen|luzco|luciendo|luzca|lucido|luciste|luzcas,10
referir,1371,62978,refiero|refieres|refiere|refieren|refiriendo|referido|referimos|refiera,8
batalla,1373,28843,batalla|batallas,2
déjalo,1374,25614,déjalo,1
intenta,1375,25538,intenta,1
sarah,1376,25528,sarah,1
fantástico,1377,25493,fantástico,1
brazo,1378,49140,brazo|brazos,2
absolutamente,1379,25418,absolutamente,1
hacerme,1381,25312,hacerme,1
escapar,1384,43263,escapar|escapado|escapando|escaparon|escapaste|escapan|escapamos|escapara|escapen|escapaba|escapemos|escaparemos,12
